"year","month","supply-1","demand-1","supply-2","demand-2","supply-3","demand-3","supply-4","demand-4","supply-5","demand-5","supply-6","demand-6","supply-7","demand-7","supply-8","demand-8","supply-9","demand-9","supply-10","demand-10","supply-11","demand-11","supply-12","demand-12","user-1","demand"
2009,3,7088353,3797052,7936753,3166599,7802772,3726699,7614012,3527947,7886462,3979475,7562824,3585584,7648487,3783723,7708394,3320752,7400800,3645331,7747703,3359383,7628810,3833660,7983376,3270182,6119270,3458711
2009,4,7851292,3458711,7088353,3797052,7936753,3166599,7802772,3726699,7614012,3527947,7886462,3979475,7562824,3585584,7648487,3783723,7708394,3320752,7400800,3645331,7747703,3359383,7628810,3833660,6119270,3636126
2009,5,7561184,3636126,7851292,3458711,7088353,3797052,7936753,3166599,7802772,3726699,7614012,3527947,7886462,3979475,7562824,3585584,7648487,3783723,7708394,3320752,7400800,3645331,7747703,3359383,6119270,2861700
2009,6,7906306,2861700,7561184,3636126,7851292,3458711,7088353,3797052,7936753,3166599,7802772,3726699,7614012,3527947,7886462,3979475,7562824,3585584,7648487,3783723,7708394,3320752,7400800,3645331,6119270,3425463
2009,7,7467446,3425463,7906306,2861700,7561184,3636126,7851292,3458711,7088353,3797052,7936753,3166599,7802772,3726699,7614012,3527947,7886462,3979475,7562824,3585584,7648487,3783723,7708394,3320752,6119270,3391204
2009,8,7461880,3391204,7467446,3425463,7906306,2861700,7561184,3636126,7851292,3458711,7088353,3797052,7936753,3166599,7802772,3726699,7614012,3527947,7886462,3979475,7562824,3585584,7648487,3783723,6119270,3698555
2009,9,7425021,3698555,7461880,3391204,7467446,3425463,7906306,2861700,7561184,3636126,7851292,3458711,7088353,3797052,7936753,3166599,7802772,3726699,7614012,3527947,7886462,3979475,7562824,3585584,6119270,3391962
2009,10,7169061,3391962,7425021,3698555,7461880,3391204,7467446,3425463,7906306,2861700,7561184,3636126,7851292,3458711,7088353,3797052,7936753,3166599,7802772,3726699,7614012,3527947,7886462,3979475,6119270,3920924
2009,11,7454172,3920924,7169061,3391962,7425021,3698555,7461880,3391204,7467446,3425463,7906306,2861700,7561184,3636126,7851292,3458711,7088353,3797052,7936753,3166599,7802772,3726699,7614012,3527947,6119270,3446805
2009,12,7203457,3446805,7454172,3920924,7169061,3391962,7425021,3698555,7461880,3391204,7467446,3425463,7906306,2861700,7561184,3636126,7851292,3458711,7088353,3797052,7936753,3166599,7802772,3726699,6119270,3657715
2010,1,7538647,3657715,7203457,3446805,7454172,3920924,7169061,3391962,7425021,3698555,7461880,3391204,7467446,3425463,7906306,2861700,7561184,3636126,7851292,3458711,7088353,3797052,7936753,3166599,6201705,3366324
2010,2,7591580,3366324,7538647,3657715,7203457,3446805,7454172,3920924,7169061,3391962,7425021,3698555,7461880,3391204,7467446,3425463,7906306,2861700,7561184,3636126,7851292,3458711,7088353,3797052,6201705,3581114
2010,3,6950209,3581114,7591580,3366324,7538647,3657715,7203457,3446805,7454172,3920924,7169061,3391962,7425021,3698555,7461880,3391204,7467446,3425463,7906306,2861700,7561184,3636126,7851292,3458711,6201705,2935919
2010,4,7482889,2935919,6950209,3581114,7591580,3366324,7538647,3657715,7203457,3446805,7454172,3920924,7169061,3391962,7425021,3698555,7461880,3391204,7467446,3425463,7906306,2861700,7561184,3636126,6201705,3737654
2010,5,7305441,3737654,7482889,2935919,6950209,3581114,7591580,3366324,7538647,3657715,7203457,3446805,7454172,3920924,7169061,3391962,7425021,3698555,7461880,3391204,7467446,3425463,7906306,2861700,6201705,3242938
2010,6,7505903,3242938,7305441,3737654,7482889,2935919,6950209,3581114,7591580,3366324,7538647,3657715,7203457,3446805,7454172,3920924,7169061,3391962,7425021,3698555,7461880,3391204,7467446,3425463,6201705,3422264
2010,7,7311131,3422264,7505903,3242938,7305441,3737654,7482889,2935919,6950209,3581114,7591580,3366324,7538647,3657715,7203457,3446805,7454172,3920924,7169061,3391962,7425021,3698555,7461880,3391204,6201705,3217665
2010,8,7852230,3217665,7311131,3422264,7505903,3242938,7305441,3737654,7482889,2935919,6950209,3581114,7591580,3366324,7538647,3657715,7203457,3446805,7454172,3920924,7169061,3391962,7425021,3698555,6201705,3598198
2010,9,7990899,3598198,7852230,3217665,7311131,3422264,7505903,3242938,7305441,3737654,7482889,2935919,6950209,3581114,7591580,3366324,7538647,3657715,7203457,3446805,7454172,3920924,7169061,3391962,6201705,3438399
2010,10,7433871,3438399,7990899,3598198,7852230,3217665,7311131,3422264,7505903,3242938,7305441,3737654,7482889,2935919,6950209,3581114,7591580,3366324,7538647,3657715,7203457,3446805,7454172,3920924,6201705,4058751
2010,11,7622458,4058751,7433871,3438399,7990899,3598198,7852230,3217665,7311131,3422264,7505903,3242938,7305441,3737654,7482889,2935919,6950209,3581114,7591580,3366324,7538647,3657715,7203457,3446805,6201705,3558442
2010,12,7331293,3558442,7622458,4058751,7433871,3438399,7990899,3598198,7852230,3217665,7311131,3422264,7505903,3242938,7305441,3737654,7482889,2935919,6950209,3581114,7591580,3366324,7538647,3657715,6201705,3655793
2011,1,7840965,3655793,7331293,3558442,7622458,4058751,7433871,3438399,7990899,3598198,7852230,3217665,7311131,3422264,7505903,3242938,7305441,3737654,7482889,2935919,6950209,3581114,7591580,3366324,6281636,3180484
2011,2,7984708,3180484,7840965,3655793,7331293,3558442,7622458,4058751,7433871,3438399,7990899,3598198,7852230,3217665,7311131,3422264,7505903,3242938,7305441,3737654,7482889,2935919,6950209,3581114,6281636,3458880
2011,3,7173643,3458880,7984708,3180484,7840965,3655793,7331293,3558442,7622458,4058751,7433871,3438399,7990899,3598198,7852230,3217665,7311131,3422264,7505903,3242938,7305441,3737654,7482889,2935919,6281636,3127984
2011,4,7729092,3127984,7173643,3458880,7984708,3180484,7840965,3655793,7331293,3558442,7622458,4058751,7433871,3438399,7990899,3598198,7852230,3217665,7311131,3422264,7505903,3242938,7305441,3737654,6281636,3657324
2011,5,7462354,3657324,7729092,3127984,7173643,3458880,7984708,3180484,7840965,3655793,7331293,3558442,7622458,4058751,7433871,3438399,7990899,3598198,7852230,3217665,7311131,3422264,7505903,3242938,6281636,3151763
2011,6,7559256,3151763,7462354,3657324,7729092,3127984,7173643,3458880,7984708,3180484,7840965,3655793,7331293,3558442,7622458,4058751,7433871,3438399,7990899,3598198,7852230,3217665,7311131,3422264,6281636,3423159
